Comment,Designator,Footprint,LCSC,Quantity
100K,"R3,R4,R5,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504,4
100nF,"C1,C2,C3,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,4
14K6,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17475,1
1K,"R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,2
330,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630,1
4.7K,"R1,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673,2
4K3,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17667,1
D_Schottky,D2,D_SMA,C28646298,1
LED_Small,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296,1
LTC1799,U3,SOT-23-5,C678789,1
MCP6002-xSN,"U1,U2",SOIC-8_3.9x4.9mm_P1.27mm,C7377,2
CV_Mix_1,J5,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,,1
DIVIDE,J3,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,,1
TestPoint,TP4,TestPoint_THTPad_D2.5mm_Drill1.2mm,,1
CV_In_1,J6,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,,1
SET,J2,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,,1
MountingHole,H1,MountingHole_2mm,,1
MountingHole,H2,MountingHole_2mm,,1
CV_In_1,J1,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,,1
CV_Mix_2,J7,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,,1
To Board,J4,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,,1
